sel_phenotype	co_phenotype	# of shared individuals	# of shared significant biomolecules (adjusted)	institution
Cancer of bronchus; lung	Pneumonitis due to inhalation of food or vomitus	208	NA	ukb
Cancer of bronchus; lung	Noninfectious disorders of lymphatic channels	206	NA	ukb
Cancer of bronchus; lung	Chronic ulcer of leg or foot	203	NA	ukb
Cancer of bronchus; lung	Hypotension	202	NA	ukb
Cancer of bronchus; lung	Heart valve replaced	200	NA	ukb
Cancer of bronchus; lung	Chronic pulmonary heart disease	199	NA	ukb
Cancer of bronchus; lung	Hydronephrosis	198	NA	ukb
Cancer of bronchus; lung	Anemia in neoplastic disease	196	NA	ukb
Cancer of bronchus; lung	Palpitations	196	NA	ukb
Cancer of bronchus; lung	stress incontinence, female	194	NA	ukb
Cancer of bronchus; lung	Transient cerebral ischemia	193	NA	ukb
Cancer of bronchus; lung	Hallux valgus (Bunion)	188	2	ukb
Cancer of bronchus; lung	Cancer of esophagus	186	NA	ukb
Cancer of bronchus; lung	Calculus of bile duct	186	NA	ukb
Cancer of bronchus; lung	Vitamin B-complex deficiencies	185	NA	ukb
Cancer of bronchus; lung	Paralysis/spasm of vocal cords or larynx	185	NA	ukb
Cancer of bronchus; lung	Spinal stenosis	183	NA	ukb
Cancer of bronchus; lung	Left bundle branch block	180	NA	ukb
Cancer of bronchus; lung	Ulcerative colitis	179	NA	ukb
Cancer of bronchus; lung	Polyp of corpus uteri	179	NA	ukb
Cancer of bronchus; lung	Viral infection	178	NA	ukb
Cancer of bronchus; lung	Secondary hypothyroidism	178	NA	ukb
Cancer of bronchus; lung	Seborrheic keratosis	178	NA	ukb
Cancer of bronchus; lung	Other disorders of the kidney and ureters	177	NA	ukb
Cancer of bronchus; lung	Regional enteritis	176	NA	ukb
Cancer of bronchus; lung	Psoriasis vulgaris	175	NA	ukb
Cancer of bronchus; lung	Lipoma of skin and subcutaneous tissue	170	NA	ukb
Cancer of bronchus; lung	Lung disease due to external agents	170	NA	ukb
Cancer of bronchus; lung	Stricture of artery	169	NA	ukb
Cancer of bronchus; lung	Aplastic anemia	168	NA	ukb
Cancer of bronchus; lung	Cholecystitis without cholelithiasis	168	NA	ukb
Cancer of bronchus; lung	Urethral stricture (not specified as infectious)	167	NA	ukb
Cancer of bronchus; lung	Voice disturbance	166	NA	ukb
Cancer of bronchus; lung	Other disorders of liver	165	NA	ukb
Cancer of bronchus; lung	Mechanical complication of unspecified genitourinary device, implant, and graft	165	NA	ukb
Cancer of bronchus; lung	Cancer of larynx	164	NA	ukb
Cancer of bronchus; lung	Malignant neoplasm of kidney, except pelvis	164	NA	ukb
Cancer of bronchus; lung	Bacterial pneumonia	163	NA	ukb
Cancer of bronchus; lung	Bacterial enteritis	162	NA	ukb
Cancer of bronchus; lung	Thyrotoxicosis with or without goiter	162	1	ukb
Cancer of bronchus; lung	Renal failure NOS	162	NA	ukb
Cancer of bronchus; lung	Sciatica	159	NA	ukb
Cancer of bronchus; lung	Other acute and subacute forms of ischemic heart disease	158	NA	ukb
Cancer of bronchus; lung	Occlusion and stenosis of precerebral arteries	155	NA	ukb
Cancer of bronchus; lung	Dental caries	154	NA	ukb
Cancer of bronchus; lung	Fracture of neck of femur	154	NA	ukb
Cancer of bronchus; lung	Alcoholic liver damage	153	NA	ukb
Cancer of bronchus; lung	Ascites (non malignant)	149	NA	ukb
Cancer of bronchus; lung	Diseases of the oral soft tissues, excluding lesions specific for gingiva and tongue	148	NA	ukb
Cancer of bronchus; lung	Fracture of vertebral column without mention of spinal cord injury	148	NA	ukb
Cancer of bronchus; lung	Excessive or frequent menstruation	147	NA	ukb
Cancer of bronchus; lung	Visual disturbances	146	NA	ukb
Cancer of bronchus; lung	Other signs and symptoms involving emotional state	145	NA	ukb
Cancer of bronchus; lung	Acute pancreatitis	145	NA	ukb
Cancer of bronchus; lung	Other disorders of metabolism	144	NA	ukb
Cancer of bronchus; lung	Migraine	144	NA	ukb
Cancer of bronchus; lung	Esophageal bleeding (varices/hemorrhage)	144	NA	ukb
Cancer of bronchus; lung	Other disorders of neurohypophysis	143	NA	ukb
Cancer of bronchus; lung	Other disorders of circulatory system	143	NA	ukb
Cancer of bronchus; lung	Nonspecific abnormal findings in stool contents	141	NA	ukb
Cancer of bronchus; lung	Ovarian cyst	141	NA	ukb
Cancer of bronchus; lung	Other symptoms involving urinary system	139	NA	ukb
Cancer of bronchus; lung	Influenza	138	NA	ukb
Cancer of bronchus; lung	Uterine/Uterovaginal prolapse	138	NA	ukb
Cancer of bronchus; lung	Synovitis and tenosynovitis	137	NA	ukb
Cancer of bronchus; lung	Aphasia/speech disturbance	136	NA	ukb
Cancer of bronchus; lung	Dependence on respirator [Ventilator] or supplemental oxygen	134	NA	ukb
Cancer of bronchus; lung	Disorders of lacrimal system	132	NA	ukb
Cancer of bronchus; lung	Acute upper respiratory infections of multiple or unspecified sites	131	NA	ukb
Cancer of bronchus; lung	Viral Enteritis	130	NA	ukb
Cancer of bronchus; lung	Abnormal involuntary movements	130	NA	ukb
Cancer of bronchus; lung	Other disorders of biliary tract	130	NA	ukb
Cancer of bronchus; lung	Raynaud's syndrome	129	NA	ukb
Cancer of bronchus; lung	Neoplasm of unspecified nature of digestive system	128	NA	ukb
Cancer of bronchus; lung	Abnormal heart sounds	128	NA	ukb
Cancer of bronchus; lung	Toxic gastroenteritis and colitis	128	1	ukb
Cancer of bronchus; lung	Acquired spondylolisthesis	128	NA	ukb
Cancer of bronchus; lung	Pathologic fracture of vertebrae	128	NA	ukb
Cancer of bronchus; lung	Contracture of palmar fascia [Dupuytren's disease]	127	NA	ukb
Cancer of bronchus; lung	Arterial embolism and thrombosis of lower extremity artery	126	NA	ukb
Cancer of bronchus; lung	Bladder neck obstruction	126	1	ukb
Cancer of bronchus; lung	Actinic keratosis	126	NA	ukb
Cancer of bronchus; lung	Fracture of humerus	126	NA	ukb
Cancer of bronchus; lung	Septal Deviations/Turbinate Hypertrophy	125	NA	ukb
Cancer of bronchus; lung	Secondary malignant neoplasm of skin	124	NA	ukb
Cancer of bronchus; lung	Flatulence	123	NA	ukb
Cancer of bronchus; lung	Swelling, mass, or lump in head and neck [Space-occupying lesion, intracranial NOS]	122	NA	ukb
Cancer of bronchus; lung	First degree AV block	122	NA	ukb
Cancer of bronchus; lung	Pyelonephritis	122	NA	ukb
Cancer of bronchus; lung	Other disorders of male genital organs	122	NA	ukb
Cancer of bronchus; lung	Intestinal infection due to C. difficile	119	NA	ukb
Cancer of bronchus; lung	Senile dementia	119	NA	ukb
Cancer of bronchus; lung	Hypertensive chronic kidney disease	119	NA	ukb
Cancer of bronchus; lung	Mitral valve stenosis and aortic valve stenosis	118	NA	ukb
Cancer of bronchus; lung	Other disorders of arteries and arterioles	118	NA	ukb
Cancer of bronchus; lung	Diseases of pancreas	117	NA	ukb
Cancer of bronchus; lung	Other inflammatory spondylopathies	117	NA	ukb
Cancer of bronchus; lung	Type 2 diabetes with ophthalmic manifestations	116	NA	ukb
Cancer of bronchus; lung	Hallucinations	116	NA	ukb
Cancer of bronchus; lung	Cerebral edema and compression of brain	115	NA	ukb
Cancer of bronchus; lung	Dysuria	115	NA	ukb
Cancer of bronchus; lung	Schizophrenia	114	NA	ukb
Cancer of bronchus; lung	Viral pneumonia	113	NA	ukb
Cancer of bronchus; lung	Chronic sinusitis	112	1	ukb
Cancer of bronchus; lung	Ileostomy status	112	NA	ukb
Cancer of bronchus; lung	Hyperparathyroidism	111	NA	ukb
Cancer of bronchus; lung	Other alveolar and parietoalveolar pneumonopathy	111	NA	ukb
Cancer of bronchus; lung	Myalgia and myositis unspecified	111	NA	ukb
Cancer of bronchus; lung	Blindness and low vision	110	NA	ukb
Cancer of bronchus; lung	Other diseases of the teeth and supporting structures	110	NA	ukb
Cancer of bronchus; lung	Viremia, NOS	109	NA	ukb
Cancer of bronchus; lung	Disorders of phosphorus metabolism	109	NA	ukb
Cancer of bronchus; lung	Pancreatic cancer	108	NA	ukb
Cancer of bronchus; lung	Joint effusions	108	NA	ukb
Cancer of bronchus; lung	Staphylococcus infections	107	NA	ukb
Cancer of bronchus; lung	Phlebitis and thrombophlebitis of lower extremities	107	NA	ukb
Cancer of bronchus; lung	Nasal polyps	107	1	ukb
Cancer of bronchus; lung	Cystitis	107	NA	ukb
Cancer of bronchus; lung	Scar conditions and fibrosis of skin	107	NA	ukb
Cancer of bronchus; lung	Hydrocephalus	106	NA	ukb
Cancer of bronchus; lung	Pneumoconiosis	106	NA	ukb
Cancer of bronchus; lung	Polymyalgia Rheumatica	106	1	ukb
Cancer of bronchus; lung	Ectropion or entropion	105	NA	ukb
Cancer of bronchus; lung	Develomental delays and disorders	104	NA	ukb
Cancer of bronchus; lung	Acute pharyngitis	104	NA	ukb
Cancer of bronchus; lung	Chronic bronchitis	104	NA	ukb
Cancer of bronchus; lung	Foreign body injury	103	NA	ukb
Cancer of bronchus; lung	Asphyxia and hypoxemia	103	NA	ukb
Cancer of bronchus; lung	Other venous embolism and thrombosis	103	NA	ukb
Cancer of bronchus; lung	Disorders of uterus, NEC	103	NA	ukb
Cancer of bronchus; lung	Other local infections of skin and subcutaneous tissue	103	NA	ukb
Cancer of bronchus; lung	Open wounds of extremities	103	NA	ukb
Cancer of bronchus; lung	Other abnormal blood chemistry	102	NA	ukb
Cancer of bronchus; lung	Nonspecific abnormal findings on radiological and other examination of other intrathoracic organs (echocardiogram, etc)	102	NA	ukb
Cancer of bronchus; lung	Agorophobia, social phobia, and panic disorder	101	NA	ukb
Cancer of bronchus; lung	Elevated blood pressure reading without diagnosis of hypertension	101	NA	ukb
Cancer of bronchus; lung	Heartburn	101	NA	ukb
Cancer of bronchus; lung	Disorders of adrenal glands	100	NA	ukb
Cancer of bronchus; lung	Glucocorticoid deficiency	100	NA	ukb
Cancer of bronchus; lung	Suicide or self-inflicted injury	100	NA	ukb
Cancer of bronchus; lung	Other paralytic syndromes	100	NA	ukb
Cancer of bronchus; lung	Late effects of cerebrovascular disease	99	NA	ukb
Cancer of bronchus; lung	Bronchitis	99	NA	ukb
Cancer of bronchus; lung	Ptosis of eyelid	98	NA	ukb
Cancer of bronchus; lung	Aortic aneurysm	98	NA	ukb
Cancer of bronchus; lung	Bipolar	97	NA	ukb
Cancer of bronchus; lung	Peritonitis and retroperitoneal infections	97	NA	ukb
Cancer of bronchus; lung	Functional disorders of bladder	95	NA	ukb
Cancer of bronchus; lung	Open wound of finger(s)	94	NA	ukb
Cancer of bronchus; lung	Inflammation of eyelids	93	1	ukb
Cancer of bronchus; lung	Cholelithiasis with acute cholecystitis	92	NA	ukb
Cancer of bronchus; lung	Other disorders of gallbladder	92	NA	ukb
Cancer of bronchus; lung	Calculus of ureter	92	NA	ukb
Cancer of bronchus; lung	Ganglion and cyst of synovium, tendon, and bursa	92	NA	ukb
Cancer of bronchus; lung	Fracture of tibia and fibula	92	NA	ukb
Cancer of bronchus; lung	Breast cancer [female]	90	NA	ukb
Cancer of bronchus; lung	Jaundice (not of newborn)	90	NA	ukb
Cancer of bronchus; lung	Lump or mass in breast	90	NA	ukb
Cancer of bronchus; lung	Hemangioma and lymphangioma, any site	89	NA	ukb
Cancer of bronchus; lung	Protein-calorie malnutrition	89	NA	ukb
Cancer of bronchus; lung	Nonspecific abnormal findings on radiological and other examination of biliary tract	89	NA	ukb
Cancer of bronchus; lung	Aspergillosis	88	NA	ukb
Cancer of bronchus; lung	Disease of tricuspid valve	88	NA	ukb
Cancer of bronchus; lung	Liver abscess and sequelae of chronic liver disease	88	NA	ukb
Cancer of bronchus; lung	Cancer of oropharynx	87	NA	ukb
Cancer of bronchus; lung	Other abnormal glucose	87	NA	ukb
Cancer of bronchus; lung	Tinnitus	87	NA	ukb
Cancer of bronchus; lung	Fracture of hand or wrist	87	NA	ukb
Cancer of bronchus; lung	Hyperosmolality and/or hypernatremia	86	NA	ukb
Cancer of bronchus; lung	Alzheimer's disease	86	NA	ukb
Cancer of bronchus; lung	Cirrhosis of liver without mention of alcohol	86	NA	ukb
Cancer of bronchus; lung	Stomatitis and mucositis (ulcerative)	85	NA	ukb
Cancer of bronchus; lung	Intracerebral hemorrhage	84	NA	ukb
Cancer of bronchus; lung	Endometriosis	84	NA	ukb
Cancer of bronchus; lung	Chronic pancreatitis	83	NA	ukb
Cancer of bronchus; lung	Other hypertrophic and atrophic conditions of skin	83	NA	ukb
Cancer of bronchus; lung	Cancer of bladder	82	1	ukb
Cancer of bronchus; lung	Cerebral degeneration, unspecified	82	NA	ukb
Cancer of bronchus; lung	Wheezing	82	NA	ukb
Cancer of bronchus; lung	Skull and face fracture and other intercranial injury	82	NA	ukb
Cancer of bronchus; lung	Diabetes mellitus	81	NA	ukb
Cancer of bronchus; lung	Cardiac arrest	81	NA	ukb
Cancer of bronchus; lung	Alteration of consciousness	80	NA	ukb
Cancer of bronchus; lung	Paroxysmal ventricular tachycardia	80	NA	ukb
Cancer of bronchus; lung	Allergic rhinitis	80	NA	ukb
Cancer of bronchus; lung	Diplopia and disorders of binocular vision	79	NA	ukb
Cancer of bronchus; lung	Obstruction of bile duct	79	NA	ukb
Cancer of bronchus; lung	Fracture of unspecified part of femur	79	NA	ukb
Cancer of bronchus; lung	Fracture of pelvis	79	NA	ukb
Cancer of bronchus; lung	Primary/intrinsic cardiomyopathies	78	NA	ukb
Cancer of bronchus; lung	Premature beats	78	NA	ukb
Cancer of bronchus; lung	Arterial embolism and thrombosis	78	NA	ukb
Cancer of bronchus; lung	Other symptoms involving abdomen and pelvis	78	NA	ukb
Cancer of bronchus; lung	Lipoma	77	NA	ukb
Cancer of bronchus; lung	Other disorders of eyelids	77	NA	ukb
Cancer of bronchus; lung	Acquired toe deformities	77	NA	ukb
Cancer of bronchus; lung	Open-angle glaucoma	76	NA	ukb
Cancer of bronchus; lung	Disorders of vitreous body	76	NA	ukb
Cancer of bronchus; lung	Primary pulmonary hypertension	76	NA	ukb
Cancer of bronchus; lung	Cancer of tongue	75	NA	ukb
Cancer of bronchus; lung	Functional digestive disorders	75	NA	ukb
Cancer of bronchus; lung	Chronic Kidney Disease, Stage IV	75	NA	ukb
Cancer of bronchus; lung	Stricture/obstruction of ureter	75	NA	ukb
Cancer of bronchus; lung	Hydrocele	75	NA	ukb
Cancer of bronchus; lung	Varicose veins of lower extremity, symptomtic	74	NA	ukb
Cancer of bronchus; lung	Peritoneal or intestinal adhesions	74	NA	ukb
Cancer of bronchus; lung	Other disorders of prostate	73	NA	ukb
Cancer of bronchus; lung	Benign neoplasm of lip, oral cavity, and pharynx	72	NA	ukb
Cancer of bronchus; lung	Arrhythmia (cardiac) NOS	72	NA	ukb
Cancer of bronchus; lung	Carcinoma in situ of skin	71	NA	ukb
Cancer of bronchus; lung	Myeloproliferative disease	71	NA	ukb
Cancer of bronchus; lung	Large cell lymphoma	71	NA	ukb
Cancer of bronchus; lung	Facial nerve disorders [CN7]	70	NA	ukb
Cancer of bronchus; lung	Poisoning/allergy of sulfonamides	70	NA	ukb
Cancer of bronchus; lung	Herpes zoster	69	NA	ukb
Cancer of bronchus; lung	Cervicalgia	69	NA	ukb
Cancer of bronchus; lung	Abnormal glucose	68	NA	ukb
Cancer of bronchus; lung	Pruritus and related conditions	68	NA	ukb
Cancer of bronchus; lung	Parkinson's disease	67	NA	ukb
Cancer of bronchus; lung	Symptoms involving respiratory system and other chest symptoms	67	NA	ukb
Cancer of bronchus; lung	Symptoms involving head and neck	66	NA	ukb
Cancer of bronchus; lung	Kyphoscoliosis and scoliosis	66	NA	ukb
Cancer of bronchus; lung	Other conditions of brain, NOS	65	NA	ukb
Cancer of bronchus; lung	Retinal vascular changes and abnomalities	65	NA	ukb
Cancer of bronchus; lung	Myopia	65	NA	ukb
Cancer of bronchus; lung	Difficulty in walking	65	NA	ukb
Cancer of bronchus; lung	Fracture of ankle and foot	65	NA	ukb
Cancer of bronchus; lung	Perforation of tympanic membrane	64	NA	ukb
Cancer of bronchus; lung	Cholangitis	64	NA	ukb
Cancer of bronchus; lung	Hammer toe (acquired)	64	NA	ukb
Cancer of bronchus; lung	Infection/inflammation of internal prosthetic device; implant; and graft	63	NA	ukb
Cancer of bronchus; lung	Memory loss	63	NA	ukb
Cancer of bronchus; lung	Renal colic	63	NA	ukb
Cancer of bronchus; lung	Malignant neoplasm of uterus	62	NA	ukb
Cancer of bronchus; lung	Substance addiction and disorders	62	NA	ukb
Cancer of bronchus; lung	Hemorrhage from gastrointestinal ulcer	62	NA	ukb
Cancer of bronchus; lung	Phobia	61	NA	ukb
Cancer of bronchus; lung	Astigmatism	61	NA	ukb
Cancer of bronchus; lung	Diseases and other conditions of the tongue	61	NA	ukb
Cancer of bronchus; lung	Peptic ulcer, site unspecified	61	NA	ukb
Cancer of bronchus; lung	Pelvic peritoneal adhesions, female (postoperative) (postinfection)	61	NA	ukb
Cancer of bronchus; lung	Pernicious anemia	60	NA	ukb
Cancer of bronchus; lung	Diseases of white blood cells	60	NA	ukb
Cancer of bronchus; lung	Disorders of conjunctiva	60	NA	ukb
Cancer of bronchus; lung	Ulceration of intestine	60	NA	ukb
Cancer of bronchus; lung	Unspecified erythematous condition	60	NA	ukb
Cancer of bronchus; lung	Musculoskeletal symptoms referable to limbs	60	NA	ukb
Cancer of bronchus; lung	Benign neoplasm of brain, cranial nerves, meninges	59	NA	ukb
Cancer of bronchus; lung	Type 2 diabetes with neurological manifestations	59	NA	ukb
Cancer of bronchus; lung	Sleep disorders	59	NA	ukb
Cancer of bronchus; lung	Abnormal function study of cardiovascular system	59	NA	ukb
Cancer of bronchus; lung	Renal dialysis	59	NA	ukb
Cancer of bronchus; lung	Cellulitis and abscess of trunk	59	NA	ukb
Cancer of bronchus; lung	Osteoarthrosis, generalized	59	NA	ukb
Cancer of bronchus; lung	Toxic effect of (non-ethyl) alcohol and petroleum and other solvents	59	NA	ukb
Cancer of bronchus; lung	Malignant neoplasm of ovary	58	NA	ukb
Cancer of bronchus; lung	Psychophysical visual disturbances	58	NA	ukb
Cancer of bronchus; lung	Cyst and pseudocyst of pancreas	58	NA	ukb
Cancer of bronchus; lung	Chronic glomerulonephritis, NOS	58	NA	ukb
Cancer of bronchus; lung	Noninflammatory disorders of cervix	58	NA	ukb
Cancer of bronchus; lung	Gram positive septicemia	57	NA	ukb
Cancer of bronchus; lung	Nontoxic nodular goiter	57	NA	ukb
Cancer of bronchus; lung	Unspecified disorder of lipoid metabolism	57	NA	ukb
Cancer of bronchus; lung	Phlebitis and thrombophlebitis	57	NA	ukb
Cancer of bronchus; lung	Celiac disease	57	1	ukb
Cancer of bronchus; lung	Paralytic ileus	57	NA	ukb
Cancer of bronchus; lung	End stage renal disease	57	NA	ukb
Cancer of bronchus; lung	Chronic cystitis	57	NA	ukb
Cancer of bronchus; lung	Nonspecific abnormal findings on radiological and other examination of musculoskeletal system	57	NA	ukb
Cancer of bronchus; lung	Other infectious and parasitic diseases	56	NA	ukb
Cancer of bronchus; lung	Cancer of connective tissue	56	NA	ukb
Cancer of bronchus; lung	Leukemia	56	NA	ukb
Cancer of bronchus; lung	Pneumonia due to fungus (mycoses)	56	NA	ukb
Cancer of bronchus; lung	Incisional hernia	56	NA	ukb
Cancer of bronchus; lung	Noninflammatory disorders of vulva and perineum	56	NA	ukb
Cancer of bronchus; lung	Dislocation	56	NA	ukb
Cancer of bronchus; lung	Portal hypertension	55	NA	ukb
Cancer of bronchus; lung	Hodgkin's disease	54	1	ukb
Cancer of bronchus; lung	Nontoxic multinodular goiter	54	NA	ukb
Cancer of bronchus; lung	Diseases of spleen	54	NA	ukb
Cancer of bronchus; lung	Sensorineural hearing loss	54	NA	ukb
Cancer of bronchus; lung	Second degree AV block	54	NA	ukb
Cancer of bronchus; lung	Calculus of lower urinary tract	54	NA	ukb
Cancer of bronchus; lung	Disorders of menstruation and other abnormal bleeding from female genital tract	54	NA	ukb
Cancer of bronchus; lung	Postmenopausal atrophic vaginitis	54	NA	ukb
Cancer of bronchus; lung	Benign neoplasm of ovary	53	NA	ukb
Cancer of bronchus; lung	Mucous polyp of cervix	53	NA	ukb
Cancer of bronchus; lung	Osteoarthrosis, localized, secondary	53	NA	ukb
Cancer of bronchus; lung	Anemia of chronic disease	52	NA	ukb
Cancer of bronchus; lung	Disorders of external ear	52	NA	ukb
Cancer of bronchus; lung	Otitis media	52	NA	ukb
Cancer of bronchus; lung	Chronic kidney disease, Stage I or II	52	NA	ukb
